vin,vout,dvout_dvin
3.250000000000000111e-01,1.494994670000000081e+00,-7.582999999999628926e-02
3.260000000000000120e-01,1.494918439999999960e+00,-7.662000000004809408e-02
3.270000000000000129e-01,1.494841429999999916e+00,-7.740999999987252522e-02
3.280000000000000138e-01,1.494763620000000071e+00,-7.821499999988645868e-02
3.290000000000000147e-01,1.494685000000000041e+00,-7.902000000001407898e-02
3.300000000000000155e-01,1.494605579999999989e+00,-7.982000000015432306e-02
3.310000000000000164e-01,1.494525359999999914e+00,-8.063500000002932211e-02
3.320000000000000173e-01,1.494444309999999998e+00,-8.145500000000538421e-02
3.330000000000000182e-01,1.494362449999999898e+00,-8.227000000010775693e-02
3.340000000000000191e-01,1.494279769999999896e+00,-8.309999999994488462e-02
3.350000000000000200e-01,1.494196249999999893e+00,-8.393499999988307536e-02
3.360000000000000209e-01,1.494111900000000048e+00,-8.476499999994757673e-02
3.370000000000000218e-01,1.494026719999999919e+00,-8.560499999998683052e-02
3.380000000000000226e-01,1.493940690000000071e+00,-8.645000000001346052e-02
3.390000000000000235e-01,1.493853819999999999e+00,-8.730000000002746674e-02
3.400000000000000244e-01,1.493766090000000046e+00,-8.815500000002884917e-02
3.410000000000000253e-01,1.493677509999999931e+00,-8.901500000001760782e-02
3.420000000000000262e-01,1.493588059999999995e+00,-8.987999999999374268e-02
3.430000000000000271e-01,1.493497749999999957e+00,-9.074499999985619070e-02
3.439999999999999725e-01,1.493406570000000100e+00,-9.162000000003445166e-02
3.449999999999999734e-01,1.493314510000000039e+00,-9.249999999997271516e-02
3.459999999999999742e-01,1.493221569999999998e+00,-9.338000000002466550e-02
3.469999999999999751e-01,1.493127749999999976e+00,-9.427000000005136826e-02
3.479999999999999760e-01,1.493033030000000094e+00,-9.516499999995176040e-02
3.489999999999999769e-01,1.492937420000000071e+00,-9.605999999996583938e-02
3.499999999999999778e-01,1.492840909999999965e+00,-9.696000000008098141e-02
3.509999999999999787e-01,1.492743500000000001e+00,-9.786999999994350219e-02
3.519999999999999796e-01,1.492645170000000077e+00,-9.878500000002077286e-02
3.529999999999999805e-01,1.492545929999999910e+00,-9.970000000009804353e-02
3.539999999999999813e-01,1.492445770000000005e+00,-1.006249999999226930e-01
3.549999999999999822e-01,1.492344679999999979e+00,-1.015499999999747160e-01
3.559999999999999831e-01,1.492242669999999993e+00,-1.024800000000141154e-01
3.569999999999999840e-01,1.492139719999999947e+00,-1.034250000000156433e-01
3.579999999999999849e-01,1.492035819999999902e+00,-1.043650000000297950e-01
3.589999999999999858e-01,1.491930989999999957e+00,-1.053099999999176362e-01
3.599999999999999867e-01,1.491825200000000073e+00,-1.062650000000076034e-01
3.609999999999999876e-01,1.491718459999999968e+00,-1.072250000000849468e-01
3.619999999999999885e-01,1.491610749999999985e+00,-1.081899999999222928e-01
3.629999999999999893e-01,1.491502080000000063e+00,-1.091549999999870124e-01
3.639999999999999902e-01,1.491392440000000041e+00,-1.101300000000264845e-01
3.649999999999999911e-01,1.491281819999999980e+00,-1.111099999999396459e-01
3.659999999999999920e-01,1.491170220000000102e+00,-1.120950000000675573e-01
3.669999999999999929e-01,1.491057630000000023e+00,-1.130850000000691580e-01
3.679999999999999938e-01,1.490944049999999965e+00,-1.140749999999570719e-01
3.689999999999999947e-01,1.490829479999999929e+00,-1.150749999999334250e-01
3.699999999999999956e-01,1.490713900000000036e+00,-1.160849999999982174e-01
3.709999999999999964e-01,1.490597310000000064e+00,-1.170950000000630098e-01
3.719999999999999973e-01,1.490479710000000013e+00,-1.181100000000014916e-01
3.729999999999999982e-01,1.490361089999999944e+00,-1.191350000000284126e-01
3.739999999999999991e-01,1.490241439999999917e+00,-1.201599999999416468e-01
3.750000000000000000e-01,1.490120770000000094e+00,-1.211899999999559441e-01
3.760000000000000009e-01,1.489999059999999931e+00,-1.222300000000586806e-01
