 frequency       v(Aol_dB)       v(Aol_arg)     
 8.52497412e+02  3.13432969e+01  1.79983029e+02 
 8.72155772e+02  3.13432969e+01  1.79982638e+02 
 8.92267449e+02  3.13432969e+01  1.79982238e+02 
 9.12842895e+02  3.13432968e+01  1.79981828e+02 
 9.33892805e+02  3.13432968e+01  1.79981409e+02 
 9.55428121e+02  3.13432968e+01  1.79980980e+02 
 9.77460036e+02  3.13432968e+01  1.79980542e+02 
 1.00000000e+03  3.13432968e+01  1.79980093e+02 
 1.02305973e+03  3.13432967e+01  1.79979634e+02 
 1.04665121e+03  3.13432967e+01  1.79979164e+02 
 1.07078670e+03  3.13432967e+01  1.79978684e+02 
 1.09547876e+03  3.13432967e+01  1.79978192e+02 
 1.12074020e+03  3.13432966e+01  1.79977689e+02 
 1.14658417e+03  3.13432966e+01  1.79977175e+02 
 1.17302409e+03  3.13432966e+01  1.79976648e+02 
 1.20007371e+03  3.13432965e+01  1.79976110e+02 
 1.22774708e+03  3.13432965e+01  1.79975559e+02 
 1.25605860e+03  3.13432965e+01  1.79974995e+02 
 1.28502297e+03  3.13432964e+01  1.79974419e+02 
 1.31465525e+03  3.13432964e+01  1.79973829e+02 
 1.34497085e+03  3.13432963e+01  1.79973225e+02 
 1.37598551e+03  3.13432963e+01  1.79972608e+02 
 1.40771537e+03  3.13432962e+01  1.79971976e+02 
 1.44017690e+03  3.13432962e+01  1.79971330e+02 
 1.47338699e+03  3.13432962e+01  1.79970669e+02 
 1.50736290e+03  3.13432961e+01  1.79969993e+02 
 1.54212228e+03  3.13432960e+01  1.79969301e+02 
 1.57768320e+03  3.13432960e+01  1.79968593e+02 
 1.61406415e+03  3.13432959e+01  1.79967869e+02 
 1.65128404e+03  3.13432959e+01  1.79967128e+02 
 1.68936220e+03  3.13432958e+01  1.79966370e+02 
 1.72831844e+03  3.13432957e+01  1.79965594e+02 
 1.76817299e+03  3.13432957e+01  1.79964801e+02 
 1.80894658e+03  3.13432956e+01  1.79963989e+02 
 1.85066040e+03  3.13432955e+01  1.79963159e+02 
 1.89333613e+03  3.13432954e+01  1.79962309e+02 
 1.93699595e+03  3.13432953e+01  1.79961440e+02 
 1.98166255e+03  3.13432952e+01  1.79960551e+02 
 2.02735916e+03  3.13432951e+01  1.79959641e+02 
 2.07410951e+03  3.13432950e+01  1.79958710e+02 
 2.12193792e+03  3.13432949e+01  1.79957758e+02 
 2.17086923e+03  3.13432948e+01  1.79956784e+02 
 2.22092889e+03  3.13432947e+01  1.79955788e+02 
 2.27214291e+03  3.13432946e+01  1.79954768e+02 
 2.32453791e+03  3.13432945e+01  1.79953725e+02 
 2.37814113e+03  3.13432943e+01  1.79952658e+02 
 2.43298042e+03  3.13432942e+01  1.79951566e+02 
 2.48908429e+03  3.13432940e+01  1.79950449e+02 
 2.54648190e+03  3.13432939e+01  1.79949307e+02 
 2.60520309e+03  3.13432937e+01  1.79948138e+02 
 2.66527837e+03  3.13432936e+01  1.79946942e+02 
 2.72673897e+03  3.13432934e+01  1.79945718e+02 
 2.78961683e+03  3.13432932e+01  1.79944467e+02 
 2.85394464e+03  3.13432930e+01  1.79943186e+02 
 2.91975583e+03  3.13432928e+01  1.79941876e+02 
 2.98708461e+03  3.13432926e+01  1.79940536e+02 
 3.05596598e+03  3.13432924e+01  1.79939165e+02 
 3.12643573e+03  3.13432922e+01  1.79937762e+02 
 3.19853049e+03  3.13432919e+01  1.79936326e+02 
 3.27228774e+03  3.13432917e+01  1.79934858e+02 
 3.34774581e+03  3.13432914e+01  1.79933356e+02 
 3.42494392e+03  3.13432912e+01  1.79931819e+02 
 3.50392221e+03  3.13432909e+01  1.79930247e+02 
 3.58472171e+03  3.13432906e+01  1.79928639e+02 
 3.66738442e+03  3.13432903e+01  1.79926993e+02 
 3.75195331e+03  3.13432899e+01  1.79925309e+02 
 3.83847234e+03  3.13432896e+01  1.79923587e+02 
 3.92698648e+03  3.13432892e+01  1.79921825e+02 
 4.01754173e+03  3.13432888e+01  1.79920022e+02 
 4.11018515e+03  3.13432885e+01  1.79918178e+02 
 4.20496491e+03  3.13432880e+01  1.79916291e+02 
 4.30193027e+03  3.13432876e+01  1.79914361e+02 
 4.40113162e+03  3.13432872e+01  1.79912386e+02 
 4.50262052e+03  3.13432867e+01  1.79910366e+02 
 4.60644974e+03  3.13432862e+01  1.79908299e+02 
 4.71267322e+03  3.13432857e+01  1.79906184e+02 
 4.82134619e+03  3.13432851e+01  1.79904021e+02 
 4.93252513e+03  3.13432846e+01  1.79901808e+02 
 5.04626783e+03  3.13432840e+01  1.79899543e+02 
 5.16263340e+03  3.13432833e+01  1.79897227e+02 
 5.28168234e+03  3.13432827e+01  1.79894857e+02 
 5.40347650e+03  3.13432820e+01  1.79892432e+02 
