 v-sweep         v(vin)          v(vout)        
 1.50000000e-01  1.50000000e-01  1.49992549e+00 
 1.51000000e-01  1.51000000e-01  1.49992313e+00 
 1.52000000e-01  1.52000000e-01  1.49992070e+00 
 1.53000000e-01  1.53000000e-01  1.49991819e+00 
 1.54000000e-01  1.54000000e-01  1.49991560e+00 
 1.55000000e-01  1.55000000e-01  1.49991294e+00 
 1.56000000e-01  1.56000000e-01  1.49991019e+00 
 1.57000000e-01  1.57000000e-01  1.49990736e+00 
 1.58000000e-01  1.58000000e-01  1.49990444e+00 
 1.59000000e-01  1.59000000e-01  1.49990143e+00 
 1.60000000e-01  1.60000000e-01  1.49989833e+00 
 1.61000000e-01  1.61000000e-01  1.49989513e+00 
 1.62000000e-01  1.62000000e-01  1.49989183e+00 
 1.63000000e-01  1.63000000e-01  1.49988844e+00 
 1.64000000e-01  1.64000000e-01  1.49988494e+00 
 1.65000000e-01  1.65000000e-01  1.49988134e+00 
 1.66000000e-01  1.66000000e-01  1.49987763e+00 
 1.67000000e-01  1.67000000e-01  1.49987380e+00 
 1.68000000e-01  1.68000000e-01  1.49986986e+00 
 1.69000000e-01  1.69000000e-01  1.49986581e+00 
 1.70000000e-01  1.70000000e-01  1.49986163e+00 
 1.71000000e-01  1.71000000e-01  1.49985733e+00 
 1.72000000e-01  1.72000000e-01  1.49985290e+00 
 1.73000000e-01  1.73000000e-01  1.49984834e+00 
 1.74000000e-01  1.74000000e-01  1.49984365e+00 
 1.75000000e-01  1.75000000e-01  1.49983881e+00 
 1.76000000e-01  1.76000000e-01  1.49983384e+00 
 1.77000000e-01  1.77000000e-01  1.49982872e+00 
 1.78000000e-01  1.78000000e-01  1.49982346e+00 
 1.79000000e-01  1.79000000e-01  1.49981804e+00 
 1.80000000e-01  1.80000000e-01  1.49981246e+00 
 1.81000000e-01  1.81000000e-01  1.49980673e+00 
 1.82000000e-01  1.82000000e-01  1.49980083e+00 
 1.83000000e-01  1.83000000e-01  1.49979476e+00 
 1.84000000e-01  1.84000000e-01  1.49978852e+00 
 1.85000000e-01  1.85000000e-01  1.49978210e+00 
 1.86000000e-01  1.86000000e-01  1.49977551e+00 
 1.87000000e-01  1.87000000e-01  1.49976873e+00 
 1.88000000e-01  1.88000000e-01  1.49976176e+00 
 1.89000000e-01  1.89000000e-01  1.49975460e+00 
 1.90000000e-01  1.90000000e-01  1.49974724e+00 
 1.91000000e-01  1.91000000e-01  1.49973968e+00 
 1.92000000e-01  1.92000000e-01  1.49973191e+00 
 1.93000000e-01  1.93000000e-01  1.49972393e+00 
 1.94000000e-01  1.94000000e-01  1.49971574e+00 
 1.95000000e-01  1.95000000e-01  1.49970732e+00 
 1.96000000e-01  1.96000000e-01  1.49969869e+00 
 1.97000000e-01  1.97000000e-01  1.49968982e+00 
 1.98000000e-01  1.98000000e-01  1.49968071e+00 
 1.99000000e-01  1.99000000e-01  1.49967137e+00 
 2.00000000e-01  2.00000000e-01  1.49966178e+00 
 2.01000000e-01  2.01000000e-01  1.49965195e+00 
 2.02000000e-01  2.02000000e-01  1.49964186e+00 
 2.03000000e-01  2.03000000e-01  1.49963151e+00 
 2.04000000e-01  2.04000000e-01  1.49962090e+00 
 2.05000000e-01  2.05000000e-01  1.49961002e+00 
 2.06000000e-01  2.06000000e-01  1.49959887e+00 
 2.07000000e-01  2.07000000e-01  1.49958744e+00 
 2.08000000e-01  2.08000000e-01  1.49957572e+00 
 2.09000000e-01  2.09000000e-01  1.49956371e+00 
 2.10000000e-01  2.10000000e-01  1.49955142e+00 
 2.11000000e-01  2.11000000e-01  1.49953882e+00 
 2.12000000e-01  2.12000000e-01  1.49952592e+00 
 2.13000000e-01  2.13000000e-01  1.49951271e+00 
 2.14000000e-01  2.14000000e-01  1.49949918e+00 
 2.15000000e-01  2.15000000e-01  1.49948534e+00 
 2.16000000e-01  2.16000000e-01  1.49947117e+00 
 2.17000000e-01  2.17000000e-01  1.49945667e+00 
 2.18000000e-01  2.18000000e-01  1.49944184e+00 
 2.19000000e-01  2.19000000e-01  1.49942666e+00 
 2.20000000e-01  2.20000000e-01  1.49941115e+00 
 2.21000000e-01  2.21000000e-01  1.49939528e+00 
 2.22000000e-01  2.22000000e-01  1.49937906e+00 
 2.23000000e-01  2.23000000e-01  1.49936248e+00 
 2.24000000e-01  2.24000000e-01  1.49934553e+00 
 2.25000000e-01  2.25000000e-01  1.49932822e+00 
 2.26000000e-01  2.26000000e-01  1.49931053e+00 
 2.27000000e-01  2.27000000e-01  1.49929246e+00 
 2.28000000e-01  2.28000000e-01  1.49927401e+00 
 2.29000000e-01  2.29000000e-01  1.49925517e+00 
 2.30000000e-01  2.30000000e-01  1.49923593e+00 
 2.31000000e-01  2.31000000e-01  1.49921630e+00 
 2.32000000e-01  2.32000000e-01  1.49919626e+00 
 2.33000000e-01  2.33000000e-01  1.49917581e+00 
 2.34000000e-01  2.34000000e-01  1.49915495e+00 
 2.35000000e-01  2.35000000e-01  1.49913367e+00 
 2.36000000e-01  2.36000000e-01  1.49911198e+00 
 2.37000000e-01  2.37000000e-01  1.49908985e+00 
 2.38000000e-01  2.38000000e-01  1.49906729e+00 
 2.39000000e-01  2.39000000e-01  1.49904430e+00 
 2.40000000e-01  2.40000000e-01  1.49902087e+00 
 2.41000000e-01  2.41000000e-01  1.49899699e+00 
 2.42000000e-01  2.42000000e-01  1.49897266e+00 
 2.43000000e-01  2.43000000e-01  1.49894788e+00 
 2.44000000e-01  2.44000000e-01  1.49892265e+00 
 2.45000000e-01  2.45000000e-01  1.49889695e+00 
 2.46000000e-01  2.46000000e-01  1.49887078e+00 
 2.47000000e-01  2.47000000e-01  1.49884414e+00 
 2.48000000e-01  2.48000000e-01  1.49881703e+00 
 2.49000000e-01  2.49000000e-01  1.49878944e+00 
 2.50000000e-01  2.50000000e-01  1.49876137e+00 
 2.51000000e-01  2.51000000e-01  1.49873281e+00 
 2.52000000e-01  2.52000000e-01  1.49870376e+00 
 2.53000000e-01  2.53000000e-01  1.49867421e+00 
 2.54000000e-01  2.54000000e-01  1.49864416e+00 
 2.55000000e-01  2.55000000e-01  1.49861362e+00 
 2.56000000e-01  2.56000000e-01  1.49858256e+00 
 2.57000000e-01  2.57000000e-01  1.49855099e+00 
 2.58000000e-01  2.58000000e-01  1.49851891e+00 
 2.59000000e-01  2.59000000e-01  1.49848631e+00 
 2.60000000e-01  2.60000000e-01  1.49845318e+00 
 2.61000000e-01  2.61000000e-01  1.49841953e+00 
 2.62000000e-01  2.62000000e-01  1.49838535e+00 
 2.63000000e-01  2.63000000e-01  1.49835064e+00 
 2.64000000e-01  2.64000000e-01  1.49831538e+00 
 2.65000000e-01  2.65000000e-01  1.49827958e+00 
 2.66000000e-01  2.66000000e-01  1.49824324e+00 
 2.67000000e-01  2.67000000e-01  1.49820635e+00 
 2.68000000e-01  2.68000000e-01  1.49816890e+00 
 2.69000000e-01  2.69000000e-01  1.49813090e+00 
 2.70000000e-01  2.70000000e-01  1.49809234e+00 
 2.71000000e-01  2.71000000e-01  1.49805321e+00 
 2.72000000e-01  2.72000000e-01  1.49801351e+00 
 2.73000000e-01  2.73000000e-01  1.49797324e+00 
 2.74000000e-01  2.74000000e-01  1.49793240e+00 
 2.75000000e-01  2.75000000e-01  1.49789097e+00 
 2.76000000e-01  2.76000000e-01  1.49784897e+00 
 2.77000000e-01  2.77000000e-01  1.49780637e+00 
 2.78000000e-01  2.78000000e-01  1.49776318e+00 
 2.79000000e-01  2.79000000e-01  1.49771940e+00 
 2.80000000e-01  2.80000000e-01  1.49767502e+00 
 2.81000000e-01  2.81000000e-01  1.49763004e+00 
 2.82000000e-01  2.82000000e-01  1.49758445e+00 
 2.83000000e-01  2.83000000e-01  1.49753825e+00 
 2.84000000e-01  2.84000000e-01  1.49749143e+00 
 2.85000000e-01  2.85000000e-01  1.49744400e+00 
 2.86000000e-01  2.86000000e-01  1.49739595e+00 
 2.87000000e-01  2.87000000e-01  1.49734727e+00 
 2.88000000e-01  2.88000000e-01  1.49729796e+00 
 2.89000000e-01  2.89000000e-01  1.49724802e+00 
 2.90000000e-01  2.90000000e-01  1.49719744e+00 
 2.91000000e-01  2.91000000e-01  1.49714623e+00 
 2.92000000e-01  2.92000000e-01  1.49709436e+00 
 2.93000000e-01  2.93000000e-01  1.49704185e+00 
 2.94000000e-01  2.94000000e-01  1.49698869e+00 
 2.95000000e-01  2.95000000e-01  1.49693486e+00 
 2.96000000e-01  2.96000000e-01  1.49688038e+00 
 2.97000000e-01  2.97000000e-01  1.49682524e+00 
 2.98000000e-01  2.98000000e-01  1.49676942e+00 
 2.99000000e-01  2.99000000e-01  1.49671293e+00 
 3.00000000e-01  3.00000000e-01  1.49665577e+00 
 3.01000000e-01  3.01000000e-01  1.49659793e+00 
 3.02000000e-01  3.02000000e-01  1.49653940e+00 
 3.03000000e-01  3.03000000e-01  1.49648018e+00 
 3.04000000e-01  3.04000000e-01  1.49642027e+00 
 3.05000000e-01  3.05000000e-01  1.49635966e+00 
 3.06000000e-01  3.06000000e-01  1.49629835e+00 
 3.07000000e-01  3.07000000e-01  1.49623634e+00 
 3.08000000e-01  3.08000000e-01  1.49617361e+00 
 3.09000000e-01  3.09000000e-01  1.49611018e+00 
 3.10000000e-01  3.10000000e-01  1.49604602e+00 
 3.11000000e-01  3.11000000e-01  1.49598115e+00 
 3.12000000e-01  3.12000000e-01  1.49591554e+00 
 3.13000000e-01  3.13000000e-01  1.49584921e+00 
 3.14000000e-01  3.14000000e-01  1.49578214e+00 
 3.15000000e-01  3.15000000e-01  1.49571434e+00 
 3.16000000e-01  3.16000000e-01  1.49564579e+00 
 3.17000000e-01  3.17000000e-01  1.49557649e+00 
 3.18000000e-01  3.18000000e-01  1.49550644e+00 
 3.19000000e-01  3.19000000e-01  1.49543563e+00 
 3.20000000e-01  3.20000000e-01  1.49536406e+00 
 3.21000000e-01  3.21000000e-01  1.49529173e+00 
 3.22000000e-01  3.22000000e-01  1.49521863e+00 
 3.23000000e-01  3.23000000e-01  1.49514476e+00 
 3.24000000e-01  3.24000000e-01  1.49507010e+00 
 3.25000000e-01  3.25000000e-01  1.49499467e+00 
 3.26000000e-01  3.26000000e-01  1.49491844e+00 
 3.27000000e-01  3.27000000e-01  1.49484143e+00 
 3.28000000e-01  3.28000000e-01  1.49476362e+00 
 3.29000000e-01  3.29000000e-01  1.49468500e+00 
 3.30000000e-01  3.30000000e-01  1.49460558e+00 
 3.31000000e-01  3.31000000e-01  1.49452536e+00 
