 time            v(vin)          v(vout)        
 1.29405000e-04  7.57264044e-01  3.67417468e-01 
 1.30405000e-04  7.57307082e-01  3.66877586e-01 
 1.31405000e-04  7.57349832e-01  3.66344557e-01 
 1.32405000e-04  7.57392292e-01  3.65818304e-01 
 1.33405000e-04  7.57434461e-01  3.65298750e-01 
 1.34405000e-04  7.57476335e-01  3.64785821e-01 
 1.35405000e-04  7.57517915e-01  3.64279444e-01 
 1.36405000e-04  7.57559197e-01  3.63779548e-01 
 1.37405000e-04  7.57600182e-01  3.63286063e-01 
 1.38405000e-04  7.57640866e-01  3.62798920e-01 
 1.39405000e-04  7.57681249e-01  3.62318052e-01 
 1.40405000e-04  7.57721328e-01  3.61843392e-01 
 1.41405000e-04  7.57761102e-01  3.61374876e-01 
 1.42405000e-04  7.57800571e-01  3.60912441e-01 
 1.43405000e-04  7.57839731e-01  3.60456025e-01 
 1.44405000e-04  7.57878581e-01  3.60005566e-01 
 1.45405000e-04  7.57917121e-01  3.59561005e-01 
 1.46405000e-04  7.57955348e-01  3.59122284e-01 
 1.47405000e-04  7.57993261e-01  3.58689344e-01 
 1.48405000e-04  7.58030859e-01  3.58262131e-01 
 1.49405000e-04  7.58068139e-01  3.57840588e-01 
 1.50405000e-04  7.58105101e-01  3.57424663e-01 
 1.51405000e-04  7.58141743e-01  3.57014301e-01 
 1.52405000e-04  7.58178063e-01  3.56609452e-01 
 1.53405000e-04  7.58214061e-01  3.56210065e-01 
 1.54405000e-04  7.58249735e-01  3.55816089e-01 
 1.55405000e-04  7.58285082e-01  3.55427476e-01 
 1.56405000e-04  7.58320103e-01  3.55044179e-01 
 1.57405000e-04  7.58354795e-01  3.54666151e-01 
 1.58405000e-04  7.58389157e-01  3.54293346e-01 
 1.59405000e-04  7.58423188e-01  3.53925719e-01 
 1.60405000e-04  7.58456887e-01  3.53563226e-01 
 1.61405000e-04  7.58490252e-01  3.53205824e-01 
 1.62405000e-04  7.58523281e-01  3.52853471e-01 
 1.63405000e-04  7.58555974e-01  3.52506126e-01 
 1.64405000e-04  7.58588330e-01  3.52163748e-01 
 1.65405000e-04  7.58620346e-01  3.51826298e-01 
 1.66405000e-04  7.58652022e-01  3.51493737e-01 
 1.67405000e-04  7.58683356e-01  3.51166027e-01 
 1.68405000e-04  7.58714348e-01  3.50843130e-01 
 1.69405000e-04  7.58744995e-01  3.50525011e-01 
 1.70405000e-04  7.58775298e-01  3.50211633e-01 
 1.71405000e-04  7.58805253e-01  3.49902963e-01 
 1.72405000e-04  7.58834862e-01  3.49598965e-01 
 1.73405000e-04  7.58864121e-01  3.49299606e-01 
 1.74405000e-04  7.58893031e-01  3.49004853e-01 
 1.75405000e-04  7.58921589e-01  3.48714675e-01 
 1.76405000e-04  7.58949795e-01  3.48429040e-01 
 1.77405000e-04  7.58977648e-01  3.48147917e-01 
 1.78405000e-04  7.59005147e-01  3.47871277e-01 
 1.79405000e-04  7.59032290e-01  3.47598665e-01 
 1.80405000e-04  7.59059076e-01  3.47331313e-01 
 1.81405000e-04  7.59085505e-01  3.47067564e-01 
 1.81530000e-04  7.59088783e-01  3.47035305e-01 
 1.81780000e-04  7.59095323e-01  3.46970325e-01 
 1.82280000e-04  7.59108336e-01  3.46841006e-01 
 1.83280000e-04  7.59134091e-01  3.46585894e-01 
 1.84280000e-04  7.59159486e-01  3.46335019e-01 
 1.85280000e-04  7.59184519e-01  3.46088431e-01 
 1.86280000e-04  7.59209190e-01  3.45846111e-01 
 1.87280000e-04  7.59233497e-01  3.45607709e-01 
 1.88280000e-04  7.59257439e-01  3.45374166e-01 
 1.89280000e-04  7.59281016e-01  3.45144212e-01 
 1.90280000e-04  7.59304227e-01  3.44919013e-01 
 1.91280000e-04  7.59327070e-01  3.44697682e-01 
 1.92280000e-04  7.59349545e-01  3.44480467e-01 
 1.93280000e-04  7.59371651e-01  3.44267359e-01 
 1.94280000e-04  7.59393387e-01  3.44058336e-01 
 1.95280000e-04  7.59414753e-01  3.43853137e-01 
