time,clock,reset_n,enable,b0,b1,b2,b3,b4,b5,b6,b7
4.040367700000000006e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.040726100000000542e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.041442899999999838e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.041709999999999248e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.041853359999999284e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.284960000000000102e+00,1.284960000000000102e+00,1.284960000000000102e+00,2.150400000000000089e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.042140080000000246e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,8.548799999999999732e-01,8.548799999999999732e-01,8.548799999999999732e-01,6.451200000000000268e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.042713520000000393e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.043860399999999800e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.046154160000000388e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.050010000000000332e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.050011000000000472e+00,1.350000000000000089e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.050012999999999863e+00,1.050000000000000044e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.050016499999999908e+00,5.250000000000000222e-01,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.050019999999999953e+00,5.860045779999999600e-11,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.050020700000000140e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.050022100000000513e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.050024900000000372e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.050030500000000089e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.050041700000000411e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.050064100000000167e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.050108899999999679e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.050198499999999591e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.050377700000000303e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.050736099999999951e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.051452900000000135e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.052886500000000503e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
4.055753700000000350e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
