Adc_ol_dB_arr,fcu_arr
1.845200000000000173e+01,1.205340000000000000e+07
2.435229999999999961e+01,6.334900000000000000e+06
3.022650000000000148e+01,3.310080000000000000e+06
9.827759999999999607e+00,2.920870000000000000e+07
3.296450000000000102e+01,2.450600000000000000e+06
1.005690000000000062e+01,2.773320000000000000e+07
2.189570000000000149e+01,8.272680000000000000e+06
2.248880000000000123e+01,7.638020000000000000e+06
1.779769999999999897e+01,1.244860000000000000e+07
2.721120000000000161e+01,4.585950000000000000e+06
1.254030000000000022e+01,2.143050000000000000e+07
2.558200000000000074e+01,5.450980000000000000e+06
3.331320000000000192e+01,2.378030000000000000e+06
1.734979999999999833e+01,1.333810000000000000e+07
3.075159999999999982e+01,2.947930000000000000e+06
1.354219999999999935e+01,2.045750000000000000e+07
1.667470000000000141e+01,1.400380000000000000e+07
